perno,gender,have_driver_license,student,education_level_attained,work_for_pay_or_profit,number_of_paid_jobs,primary_job_is_full_time,primary_job_classification,mode_used_to_get_to_work,how_long_was_your_commute,flexible_work_schedule_at_primary_job,remote_or_other_work_location_allowed,number_of_days_remote_or_other_work_location,employment_description,own_or_rent,housing_type,household_income,household_size,number_of_children_under_18,number_of_hh_member_with_driver_license,number_of_household_vehicles,alternative_mode_if_a_car_is_not_available,disability,length_of_disability,age_calculated_nrel_agebin
e7b24d99-324d-4d6d-b247-9edc87d3c848,Man ,Yes ,Not a student ,High school graduate or GED ,Yes ,No ,Full-time ,Clerical or administrative support ,Car ,30,No ,Yes ,1.0,,Own ,Single family house ,"$25,000-$49,999",2,0,2,2,Bicycle ,No ,,4
c8b9fe22-86f8-449a-b64f-c18a8d20eefc,Man ,Yes ,Yes. I take cannabis courses and attend seminars. Not a technical university student however,High school graduate or GED ,Yes ,Yes ,Full-time ,"Manufacturing, construction, maintenance, or farming ",SUV ,27,No ,No ,,,Rent ,Condominium,"Less than $24,999 ",2,0,2,1,"Public transportation (bus, subway, light rail, etc.) ",No ,,3
5079bb93-c9cf-46d7-a643-dfc86bb05605,Woman ,Yes ,Not a student ,High school graduate or GED ,Yes ,Yes ,Full-time ,Rents party,Car ,20,Yes ,No ,,,Rent ,Condominium,"Less than $24,999 ",3,1,2,2,"Public transportation (bus, subway, light rail, etc.) ",No ,,4
1d292b85-c549-409a-a10d-746e957582a0,Man ,No ,Not a student ,Some college or associates degree ,Yes ,Yes ,Part-time ,Sales or service ,Bicycle ,5,No ,No ,,,Rent ,Condominium,"Less than $24,999 ",2,1,0,0,"Public transportation (bus, subway, light rail, etc.) ",No ,,4
cb3222a7-1e72-4a92-8b7b-2c4795402497,Man ,No ,Yes - K-12th Grade including GED ,Less than a high school graduate ,No ,No ,Full-time ,"Professional, managerial, or technical ",Public or commuter bus ,16,No ,No ,,I’m currently employed outside my home ,Rent ,Condominium,"$25,000-$49,999",1,0,0,0,"Public transportation (bus, subway, light rail, etc.) ",Yes ,More than 6 months ,3
113aef67-400e-4e21-a29f-d04e50fc42ea,Man ,No ,Not a student ,High school graduate or GED ,Yes ,Yes ,Full-time ,Sales or service ,Car ,30,No ,No ,,,Rent ,Multi-family house ,"$25,000-$49,999",1,0,1,2,"Public transportation (bus, subway, light rail, etc.) ",No ,,2
feabfccd-dd6c-4e8e-8517-9d7177042483,Man ,No ,Not a student ,High school graduate or GED ,Yes ,No ,Full-time ,Sales or service ,Bicycle ,10,No ,No ,,,Own ,Single family house ,"$25,000-$49,999",5,0,1,1,Bicycle ,No ,,3
576e37c7-ab7e-4c03-add7-02486bc3f42e,Woman ,Yes ,Not a student ,High school graduate or GED ,Yes ,Yes ,Part-time ,Community work,Car ,15,Yes ,Yes ,0.0,,Rent ,Multi-family house ,"Less than $24,999 ",3,0,1,1,Bicycle ,No ,,5
898b1a5e-cdd4-4a0c-90e4-942fa298e456,Woman ,Yes ,Not a student ,Graduate degree or professional degree ,No ,No ,Part-time ,"Manufacturing, construction, maintenance, or farming ",Public or commuter bus ,75,Yes ,No ,,I’m currently employed outside my home ,Rent ,I am unhoused ,"Less than $24,999 ",1,0,1,0,"Public transportation (bus, subway, light rail, etc.) ",No ,,5
1044195f-af9e-43d4-9407-60594e5e9938,Man ,No ,Not a student ,Some college or associates degree ,Yes ,No ,Full-time ,"Manufacturing, construction, maintenance, or farming ",Bicycle ,45,No ,No ,,,Rent ,Condominium,"Less than $24,999 ",4,0,1,1,"Public transportation (bus, subway, light rail, etc.) ",No ,,6
960835ac-9d8a-421d-8b8a-bf816f8a4b92,Woman ,Yes ,Not a student ,Graduate degree or professional degree ,No ,No ,Part-time ,Tester,Bicycle ,50,Yes ,Yes ,7.0,I’m currently employed outside my home ,Rent ,Condominium,"Less than $24,999 ",1,0,1,1,"Public transportation (bus, subway, light rail, etc.) ",No ,,5
cb3222a71e724a928b7b2c4795402497,Man ,No ,Prefer not to say ,Some college or associates degree ,No ,Prefer not to say ,Full-time ,Healthcare,Lightrail ,10,No ,No ,,I’m currently employed outside my home ,Rent ,Condominium,"Less than $24,999 ",1,0,0,0,"Public transportation (bus, subway, light rail, etc.) ",No ,,3
efdbea3b-eef6-48fc-9558-7585f4ad6f24,Man ,Yes ,Not a student ,Bachelor's degree ,Yes ,Yes ,Part-time ,"Professional, managerial, or technical ",Bicycle ,35,No ,Yes ,3.0,,Housing provided by work ,Multi-family house ,"Less than $24,999 ",4,3,2,1,"Public transportation (bus, subway, light rail, etc.) ",No ,,4
cb3222a71e724a928b7b2c4795402497,Man ,No ,Not a student ,High school graduate or GED ,No ,Yes ,Full-time ,Healthcare,Lightrail ,60,No ,No ,,I’m currently employed outside my home ,Rent ,Single family house ,"$25,000-$49,999",1,0,0,0,"Public transportation (bus, subway, light rail, etc.) ",No ,,3
cb3222a71e724a928b7b2c4795402497,Man ,No ,Not a student ,High school graduate or GED ,No ,No ,Full-time ,Healthcare,Lightrail ,60,No ,No ,,I’m currently employed outside my home ,Rent ,Condominium,"$25,000-$49,999",1,0,0,0,"Public transportation (bus, subway, light rail, etc.) ",No ,,3
